# time RePsi4 ImPsi4 AbsPsi4
1.031624999999999943e+02 -4.322613079694288798e-06 6.690185165854562423e-22 4.322613079694288798e-06
1.032750000000000057e+02 -4.339357721394080132e-06 8.816078394173578274e-22 4.339357721394080132e-06
1.033875000000000028e+02 -4.355575897980741739e-06 7.756527975759121424e-22 4.355575897980741739e-06
1.035000000000000000e+02 -4.371040362062812403e-06 9.133269307730880998e-22 4.371040362062812403e-06
1.036124999999999972e+02 -4.386199077951358152e-06 7.759711197292362934e-22 4.386199077951358152e-06
1.037249999999999943e+02 -4.400913208875861001e-06 8.025875966144640830e-22 4.400913208875861001e-06
1.038375000000000057e+02 -4.415076697846124023e-06 7.206895026278412229e-22 4.415076697846124023e-06
1.039500000000000028e+02 -4.428535886538596892e-06 7.152001418473600019e-22 4.428535886538596892e-06
1.040625000000000000e+02 -4.441681096717014453e-06 7.742916447180225450e-22 4.441681096717014453e-06
1.041749999999999972e+02 -4.454389808539977949e-06 9.116033502884753872e-22 4.454389808539977949e-06
1.042874999999999943e+02 -4.466557023608308776e-06 7.754275649647028544e-22 4.466557023608308776e-06
1.044000000000000057e+02 -4.478083041472315049e-06 8.533523030922734832e-22 4.478083041472315049e-06
1.045125000000000028e+02 -4.489298227129204684e-06 8.631249467388749430e-22 4.489298227129204684e-06
1.046250000000000000e+02 -4.500097106414361529e-06 7.500862092615712651e-22 4.500097106414361529e-06
1.047374999999999972e+02 -4.510384051917112116e-06 6.443813378256709337e-22 4.510384051917112116e-06
1.048499999999999943e+02 -4.520065734627887457e-06 8.338187046162770696e-22 4.520065734627887457e-06
1.049625000000000057e+02 -4.529475711225311701e-06 8.010249850108695233e-22 4.529475711225311701e-06
1.050750000000000028e+02 -4.538504654239727248e-06 5.928530445051978160e-22 4.538504654239727248e-06
1.051875000000000000e+02 -4.547055902497319690e-06 8.338953505680849567e-22 4.547055902497319690e-06
1.052999999999999972e+02 -4.554988914402752974e-06 6.748805079432727995e-22 4.554988914402752974e-06
1.054124999999999943e+02 -4.562729621608307871e-06 7.627777140098965225e-22 4.562729621608307871e-06
1.055250000000000057e+02 -4.570135429529806577e-06 7.686976541648795621e-22 4.570135429529806577e-06
1.056375000000000028e+02 -4.577088989942245755e-06 8.584495684430377255e-22 4.577088989942245755e-06
1.057500000000000000e+02 -4.583369130027203800e-06 7.729527303301567975e-22 4.583369130027203800e-06
1.058624999999999972e+02 -4.589557005810602761e-06 6.907045166450977708e-22 4.589557005810602761e-06
1.059749999999999943e+02 -4.595456247022748428e-06 8.044603581051157787e-22 4.595456247022748428e-06
1.060875000000000057e+02 -4.600912474572040741e-06 7.458378442604103726e-22 4.600912474572040741e-06
1.062000000000000028e+02 -4.605629581869113452e-06 8.038832722844440503e-22 4.605629581869113452e-06
1.063125000000000000e+02 -4.610338267918961015e-06 8.853875868592099427e-22 4.610338267918961015e-06
1.064249999999999972e+02 -4.614790805178532365e-06 8.926818793203261367e-22 4.614790805178532365e-06
1.065374999999999943e+02 -4.618793395132830445e-06 7.631358078590538121e-22 4.618793395132830445e-06
1.066500000000000057e+02 -4.622023574592880850e-06 9.008642742446842852e-22 4.622023574592880850e-06
1.067625000000000028e+02 -4.625272910512749474e-06 8.621830063760432031e-22 4.625272910512749474e-06
1.068750000000000000e+02 -4.628272418408808502e-06 9.468686356219222409e-22 4.628272418408808502e-06
1.069874999999999972e+02 -4.630805400037107550e-06 9.494409183405925052e-22 4.630805400037107550e-06
1.070999999999999943e+02 -4.632601776736080103e-06 7.758840479468271508e-22 4.632601776736080103e-06
1.072125000000000057e+02 -4.634360342907994304e-06 8.969486443028095958e-22 4.634360342907994304e-06
1.073250000000000028e+02 -4.635842578684277916e-06 8.880241085436280114e-22 4.635842578684277916e-06
1.074375000000000000e+02 -4.636842285869314346e-06 6.999187220967823396e-22 4.636842285869314346e-06
1.075499999999999972e+02 -4.637226693153755533e-06 7.514784910246053983e-22 4.637226693153755533e-06
1.076624999999999943e+02 -4.637425876480545625e-06 8.565851030408692274e-22 4.637425876480545625e-06
1.077750000000000057e+02 -4.637290847153563676e-06 8.617024028262093640e-22 4.637290847153563676e-06
1.078875000000000028e+02 -4.636668327861762843e-06 9.462248467734010511e-22 4.636668327861762843e-06
1.080000000000000000e+02 -4.635627532225345975e-06 9.233785087260508321e-22 4.635627532225345975e-06
1.081124999999999972e+02 -4.634182907021901274e-06 9.108241618465746412e-22 4.634182907021901274e-06
1.082249999999999943e+02 -4.632324248461691794e-06 8.792527532480677310e-22 4.632324248461691794e-06
1.083375000000000057e+02 -4.629991779650709839e-06 7.849684010404164842e-22 4.629991779650709839e-06
1.084500000000000028e+02 -4.627480897368500632e-06 7.906817809743884041e-22 4.627480897368500632e-06
1.085625000000000000e+02 -4.624315900164871154e-06 7.949100124832004563e-22 4.624315900164871154e-06
1.086749999999999972e+02 -4.620650326586041858e-06 6.991711207022259108e-22 4.620650326586041858e-06
1.087874999999999943e+02 -4.616545999089539292e-06 8.053793789757348526e-22 4.616545999089539292e-06
1.089000000000000057e+02 -4.612499654336891372e-06 8.921671875143814686e-22 4.612499654336891372e-06
1.090125000000000028e+02 -4.607566847744495647e-06 7.411103120471232646e-22 4.607566847744495647e-06
1.091250000000000000e+02 -4.602057661763021674e-06 7.338209229457674300e-22 4.602057661763021674e-06
1.092374999999999972e+02 -4.596163461324063422e-06 8.202502414041648783e-22 4.596163461324063422e-06
1.093499999999999943e+02 -4.590512724906968493e-06 8.281518694533625343e-22 4.590512724906968493e-06
1.094625000000000057e+02 -4.583808980226849844e-06 7.531767251015685487e-22 4.583808980226849844e-06
1.095750000000000028e+02 -4.576479708501406038e-06 8.410719871593983935e-22 4.576479708501406038e-06
1.096875000000000000e+02 -4.568830588205379852e-06 7.364659016875496396e-22 4.568830588205379852e-06
1.097999999999999972e+02 -4.561522129379561803e-06 6.567561672561469861e-22 4.561522129379561803e-06
1.099124999999999943e+02 -4.553095612400022577e-06 7.818366771668785324e-22 4.553095612400022577e-06
1.100250000000000057e+02 -4.544032263925612051e-06 8.659620604134846960e-22 4.544032263925612051e-06
1.101375000000000028e+02 -4.534715831483946671e-06 8.143129661389182541e-22 4.534715831483946671e-06
1.102500000000000000e+02 -4.525729410802322622e-06 7.840968536074760701e-22 4.525729410802322622e-06
1.103624999999999972e+02 -4.515678080944586496e-06 8.500322951568307956e-22 4.515678080944586496e-06
1.104749999999999943e+02 -4.505020956861208318e-06 7.122407908809493009e-22 4.505020956861208318e-06
1.105875000000000057e+02 -4.494169349197523619e-06 7.690765129996882231e-22 4.494169349197523619e-06
1.107000000000000028e+02 -4.483530762052250000e-06 7.045023605126608018e-22 4.483530762052250000e-06
1.108125000000000000e+02 -4.471994012032460426e-06 6.872876178255037914e-22 4.471994012032460426e-06
1.109249999999999972e+02 -4.459922217939936240e-06 7.229614050323098391e-22 4.459922217939936240e-06
1.110374999999999943e+02 -4.447699343110676338e-06 7.521144171624000296e-22 4.447699343110676338e-06
1.111500000000000057e+02 -4.435487551986560005e-06 8.890668401904203237e-22 4.435487551986560005e-06
1.112625000000000028e+02 -4.422634199423170761e-06 8.225961523472370690e-22 4.422634199423170761e-06
1.113750000000000000e+02 -4.409347569904777244e-06 8.371762925943266524e-22 4.409347569904777244e-06
1.114874999999999972e+02 -4.395935708620051897e-06 8.249384600638187232e-22 4.395935708620051897e-06
1.115999999999999943e+02 -4.382284285248834579e-06 8.535366991365907447e-22 4.382284285248834579e-06
